"","bat_comp","sat_comp","gat_comp","metabolites"
"CER",0.000920672981345504,0.000626235448846877,0.000467380593559929,"crm_hs[c]"
"DAG",0.00183944868838127,0.00165398593889258,0.00131451724228019,"dag_hs[c]"
"FFA",0.0448307359098098,0.018406057561815,0.0158975674260381,"ffa_hs[c]"
"PC",0.0550998568465288,0.013360436332036,0.00760650035989563,"pchol_hs[c]"
"PE",0.115049064338552,0.0103216968913748,0.00416159021830571,"pe_hs[c]"
"PG",0.00357850681872138,0.000442399967014693,0.000149208905125,"pglyc_hs[c]"
"PI",0.0104411954675932,0.00170236510094736,0.000827958126210618,"pail_hs[c]"
"PS",0.00633363783211168,0.00391239136491164,0.00195876643231791,"ps_hs[c]"
"SM",0.00319760837849534,0.00165891986666554,0.00103591723862348,"sphmyln_hs[c]"
"TAG",0.758709272738461,0.947915511527495,0.966580593457643,"tag_hs[c]"
